price,id,host_id,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,latitude,longitude,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,maximum_nights_avg_ntm,availability_60,availability_365,number_of_reviews,number_of_reviews_l30d,review_scores_rating,review_scores_checkin,review_scores_location,instant_bookable,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,num_host_verif,num_amenities,is_private_bath,room_type2,host_years,last_review_date,region,num_proximity,local_host
214,12762003,15102632,0,0,1,1,1,34.04194,-118.26467,2,2,2,30,1125,1125,0,0,22,0,96,10,10,0,0,0,0.41,4,31,0,4,6.556164384,1.361643836,Central L.A.,1172,1
110,12778021,69528436,0,0,0,1,1,34.09177,-118.33264,1,1,2,30,1125,1125,58,363,49,0,95,10,9,0,0,0,0.91,8,17,0,4,4.569863014,1.17260274,Central L.A.,2299,1
65,12783295,69567527,0,0,0,1,0,34.1054,-118.33468,1,1,1,30,1125,1125,0,0,2,0,100,10,10,0,1,0,0.04,4,20,0,2,4.569863014,4.410958904,Central L.A.,2042,1
105,12793735,27689406,0,0,0,1,1,34.09017,-118.28053,1,1,0,30,1125,1125,59,364,69,0,93,10,10,0,1,0,1.28,4,31,0,2,5.775956284,2.624657534,Central L.A.,1466,0
204,12794929,95286,100,79,0,2,1,33.99295,-118.47493,2,2,2,30,1125,1125,27,332,93,0,85,10,9,0,0,0,1.73,6,32,0,4,10.68767123,0.580821918,Westside,1828,1
213,12796674,16644446,100,89,0,55,1,34.06223,-118.2925,2,2,3,4,1125,1125,0,0,7,0,91,9,9,0,0,0,0.13,8,35,0,4,6.452054795,0.208219178,Central L.A.,1333,0
125,12796742,10104674,71,93,0,4,1,33.99858,-118.43868,1,1,1,30,1125,1125,0,0,159,0,94,10,10,1,0,0,3,8,36,0,4,7.01369863,1.156164384,Westside,1489,1
119,12806624,3381181,100,100,1,3,1,33.99755,-118.47638,1,2,2,31,1125,1125,0,0,92,0,99,10,10,1,0,0,2.56,8,19,0,4,8.243835616,0.797814208,Westside,1884,1
108,12806777,4408682,0,0,0,1,1,33.98606,-118.4099,1,1,1,30,1125,1125,0,0,1,0,80,10,8,0,0,0,0.02,8,9,0,4,7.93989071,4.484931507,Westside,530,1
157,12810722,64975150,100,100,0,1,0,34.02317,-118.38839,1,1,1,7,199,199,16,321,41,1,97,10,10,0,0,0,0.77,3,18,0,4,4.654794521,0.189041096,Westside,573,0
78,12811900,6610963,0,88,0,1,1,34.09348,-118.32234,1,1,1,30,65,1125,0,111,173,0,89,9,9,0,0,0,3.2,5,32,0,4,7.490410959,0.690410959,Central L.A.,2139,1
120,12826166,7046629,0,0,0,2,1,34.06781,-118.29482,1,1,1,30,1125,1125,60,365,1,0,100,10,10,0,2,0,0.02,9,13,0,2,7.421917808,4.109589041,Central L.A.,1348,0
105,12828541,70004158,100,98,0,1,0,34.01906,-118.42397,1,2,2,1,25,1125,40,160,160,8,96,10,10,0,0,0,3.01,5,27,0,4,4.561643836,0.128767123,Westside,764,1
157,12833239,12864123,0,0,0,1,1,34.10047,-118.34653,1,1,1,30,60,60,53,263,1,0,100,10,10,0,0,0,0.04,4,31,0,4,6.717808219,2.391780822,Central L.A.,2167,0
118,12835956,70075895,100,0,0,1,0,34.00092,-118.43678,1,1,1,30,1125,1125,0,169,16,0,96,10,10,0,0,0,0.3,3,11,0,4,4.561643836,3.432876712,Westside,1243,1
95,12854744,60414489,100,85,1,6,0,34.10535,-118.3234,1,1,1,30,1125,1125,0,161,33,0,93,9,9,0,0,0,0.61,3,29,0,4,4.743169399,1.345205479,Central L.A.,1951,0
129,12854934,33703192,0,0,0,1,1,34.07289,-118.2716,1,1,3,30,1125,1125,0,0,6,0,93,9,9,0,0,0,0.11,9,9,0,4,5.515068493,4.273972603,Central L.A.,1528,1
128,12862171,7499896,100,50,0,1,1,34.06565,-118.34656,1,1,1,30,60,1125,58,363,17,0,98,10,10,0,0,0,0.33,5,36,0,4,7.35890411,1.032876712,Central L.A.,1390,1
199,12865610,16644446,100,89,0,55,1,34.06182,-118.29328,2,2,2,2,1125,1125,0,0,8,0,100,10,10,0,0,0,0.16,8,30,0,4,6.452054795,0.208219178,Central L.A.,1312,0
370,12870890,44192868,100,91,1,1,1,34.10354,-118.27852,2,1,1,2,28,28,8,313,31,0,99,10,10,0,0,0,0.65,6,21,0,4,5.191780822,0.740437158,Central L.A.,1144,1
95,12872858,9619001,0,100,0,0,0,34.06149,-118.43825,1,1,1,30,180,180,60,89,11,0,98,10,10,0,1,0,0.21,4,10,0,2,4.863387978,1.106849315,Westside,769,1
80,12873986,41196460,0,0,0,1,0,34.05688,-118.46496,1,1,1,30,1125,1125,0,0,6,0,100,10,10,0,0,0,0.11,3,13,0,4,5.284931507,4.150684932,Westside,763,1
50,12887233,70531400,0,0,0,1,1,34.05106,-118.24404,1,1,0,30,90,90,59,178,1,0,20,2,2,0,1,0,0.06,4,2,0,2,4.553424658,1.457534247,Central L.A.,1084,1
111,12888067,1804997,100,97,0,1,1,33.98523,-118.47292,1,0,1,30,30,1125,25,51,142,0,96,10,10,0,0,0,2.68,6,20,0,4,8.745901639,0.208219178,Westside,1630,1
60,12888163,38774068,100,80,0,6,1,34.09517,-118.27482,1,0,1,30,90,1125,60,100,15,1,87,9,10,0,0,0,0.49,5,29,0,4,5.353424658,0.109589041,Central L.A.,1280,0
92,12888653,23941710,0,43,1,1,1,34.02617,-118.49361,1,1,1,2,1125,1125,0,0,36,0,97,10,10,0,1,0,0.68,6,33,0,2,6.010958904,0.890710383,Westside,866,0
165,12890799,52570262,90,13,0,2,1,34.08039,-118.38908,1,2,2,1,1125,1125,60,89,38,0,95,10,10,0,1,0,0.71,7,7,0,4,4.904371585,0.890710383,Central L.A.,1168,0
85,12891255,68672147,100,94,0,16,0,34.01633,-118.4904,1,0,1,31,1125,1125,0,0,12,0,97,10,10,0,0,0,0.23,5,22,0,4,4.583561644,0.792349727,Westside,1197,0
310,12897941,39639621,0,0,0,1,1,34.09127,-118.60045,2,2,6,2,40,40,0,0,23,0,100,10,10,1,0,0,0.43,4,20,0,4,5.328767123,3.150684932,Santa Monica Mountains,142,0
200,12903928,68977380,100,100,1,1,1,33.99549,-118.47797,1,1,1,30,120,1125,60,365,20,0,100,10,10,1,1,0,0.38,4,40,1,2,4.578082192,0.756830601,Westside,1835,1
113,12904375,13304615,0,0,0,6,1,34.06939,-118.2521,1,1,1,30,30,30,0,0,62,0,93,10,9,0,3,0,1.16,9,23,0,2,6.682191781,3.106849315,Central L.A.,1407,0
65,12915673,68717662,0,0,0,1,1,34.08831,-118.31142,1,1,2,30,1125,1125,0,0,4,0,80,10,8,0,0,0,0.07,6,8,0,4,4.583561644,4.501369863,Central L.A.,1815,1
45,12918829,39841598,100,100,1,1,1,34.05179,-118.34929,1,1,0,31,93,1125,0,14,435,0,98,10,10,1,1,0,8.15,7,27,1,2,5.323287671,1.060273973,Central L.A.,1050,1
150,12930113,26882871,100,40,0,1,1,34.12487,-118.35202,1,1,1,30,1125,1125,59,89,1,0,100,10,10,0,2,0,0.02,5,17,0,2,5.816939891,4.312328767,Central L.A.,1141,0
125,12930555,70979452,100,33,1,2,1,34.11561,-118.32324,1,1,1,3,14,14,0,0,28,0,100,10,10,0,1,0,0.55,9,19,1,2,4.545205479,1.276712329,Central L.A.,1612,1
490,12931041,29273449,100,0,0,1,1,34.09569,-118.37472,3,3,3,30,120,120,60,365,1,0,100,10,10,0,0,0,0.02,5,11,0,4,5.698630137,4.44109589,Central L.A.,1586,1
108,12931414,55555433,0,50,0,1,1,34.04782,-118.37496,1,1,3,30,1125,1125,22,51,68,0,97,10,10,0,0,0,1.27,5,31,0,4,4.838797814,1.032876712,Central L.A.,1152,1
251,12932661,47734626,94,99,0,19,1,34.08364,-118.37853,1,1,2,31,1125,1125,46,351,10,0,98,10,10,0,0,0,0.2,3,14,0,4,5.068493151,1.016438356,Central L.A.,1490,0
50,12934547,1639017,100,100,0,1,1,34.08438,-118.24948,1,0,1,30,60,1125,13,210,350,1,99,10,10,0,0,0,6.57,5,14,0,4,8.836065574,0.145205479,Central L.A.,964,1
175,12950169,11861445,100,100,1,2,1,34.03172,-118.48622,2.5,2,2,30,1125,1125,60,145,10,0,98,10,10,1,0,0,0.19,9,30,0,4,6.806010929,3.410958904,Westside,1023,0
164,12952489,71138931,94,94,0,2,1,34.08789,-118.3369,1,2,2,30,1125,1125,22,317,90,0,94,10,10,0,0,0,1.68,7,20,0,4,4.542465753,0.260273973,Central L.A.,2357,0
450,12954789,71194648,100,92,1,3,1,34.06454,-118.39907,2,3,4,7,1125,1125,60,365,33,0,98,10,10,0,0,0,0.63,5,21,0,4,4.542465753,0.754098361,Westside,863,0
106,12971825,71373303,0,0,0,1,1,34.00884,-118.45565,1,2,2,30,30,30,0,0,3,0,93,10,10,0,0,0,0.06,5,16,0,4,4.539726027,4.150684932,Westside,1789,1
85,12974133,8740615,0,0,0,1,1,34.06312,-118.45276,1,1,1,30,30,30,0,0,6,0,96,9,9,0,0,0,0.11,10,22,0,4,7.202739726,3.885245902,Westside,769,1
74,12983504,5380877,0,0,0,3,1,34.06898,-118.28587,1,1,1,30,1125,1125,0,0,10,0,90,8,9,0,1,2,0.19,6,15,0,2,7.712328767,3.328767123,Central L.A.,1515,1
30,12984665,5380877,0,0,0,3,1,34.06906,-118.28617,1,1,1,30,1125,1125,0,0,8,0,80,9,8,1,1,2,0.15,6,19,0,1,7.712328767,4.183561644,Central L.A.,1515,1
28,12984787,5380877,0,0,0,3,1,34.06683,-118.28579,1,1,1,30,1125,1125,0,0,7,0,75,8,9,1,1,2,0.13,6,0,0,1,7.712328767,4.232876712,Central L.A.,1467,1
55,12989018,22650451,0,0,0,2,1,34.02689,-118.40392,1,1,1,30,1125,1125,0,0,46,0,99,10,10,0,1,0,0.88,5,32,0,2,6.101369863,3.482191781,Westside,595,1
206,12990133,6842396,0,100,1,5,1,34.05715,-118.31882,2,3,3,90,90,90,1,1,10,0,96,10,10,0,3,0,0.19,7,36,0,4,7.454794521,1.896174863,Central L.A.,1036,1
95,12990497,10201715,89,50,0,2,1,34.0868,-118.24752,1,1,1,30,39,39,53,82,19,0,97,10,10,0,1,0,0.36,4,18,0,2,7.002739726,3.449315068,Central L.A.,928,1
77,12990523,50140730,0,0,0,1,1,34.08405,-118.3892,1,1,1,1,1125,1125,43,348,271,0,90,10,10,1,0,0,5.35,5,32,0,4,4.983606557,0.232876712,Central L.A.,1151,0
90,12991317,39435919,0,0,0,1,1,34.10338,-118.3114,1,0,1,30,1125,1125,60,365,6,0,97,10,10,0,0,0,0.11,10,14,0,4,5.334246575,4.317808219,Central L.A.,1855,0
600,12998205,95543,98,93,1,8,1,34.00442,-118.46865,3,3,4,14,100,100,0,101,1,0,100,10,10,0,0,0,0.02,5,42,0,4,10.68493151,4.326027397,Westside,2030,1
