"","longitude","latitude","price","region","xgrid","est_price"
"5295",-118.42168,34.05068,149,"Westside",-118.421957123746,157.496393158718
"5296",-118.26047,34.08283,70,"Central L.A.",-118.260189899666,143.630280758379
"5297",-118.38203,34.04017,79,"Central L.A.",-118.381515317726,177.306089393316
"5298",-118.36953,34.0805,150,"Central L.A.",-118.37073083612,171.781892378976
"5299",-118.39379,33.99319,85,"Westside",-118.394995919732,172.68508334418
"5300",-118.36478,34.09919,125,"Central L.A.",-118.365338595318,166.860338461898
"5301",-118.46898,34.04112,85,"Westside",-118.467791170569,189.374006265361
"5302",-118.40793,34.0066,59,"Westside",-118.408476521739,160.896071417492
"5303",-118.36722,34.09213,81,"Central L.A.",-118.368034715719,169.421788149633
"5304",-118.36166,34.02368,61,"South L.A.",-118.362642474916,164.206158511257
"5305",-118.35652,34.10188,95,"Central L.A.",-118.357250234114,159.001307505173
"5306",-118.35167,34.03685,151,"Central L.A.",-118.351857993311,154.355320537339
"5307",-118.35825,34.07944,96,"Central L.A.",-118.357250234114,159.001307505173
"5308",-118.37497,34.04575,80,"Central L.A.",-118.376123076923,175.484014873495
"5309",-118.45534,34.0449,70,"Westside",-118.454310568562,185.373782992951
"5310",-118.38153,34.02629,70,"Westside",-118.381515317726,177.306089393316
"5311",-118.25092,34.04345,70,"Central L.A.",-118.252101538462,143.756498814525
"5312",-118.35505,34.06689,202,"Central L.A.",-118.354554113712,156.590043146206
"5313",-118.4324,34.05052,99,"Westside",-118.432741605351,165.202127686438
"5314",-118.1757,34.04596,88,"Eastside",-118.176610167224,101.481070949576
"5315",-118.38243,33.98661,100,"Westside",-118.381515317726,177.306089393316
"5316",-118.34757,34.06481,65,"Central L.A.",-118.346465752508,150.400891662143
"5317",-118.44062,34.00104,129,"Westside",-118.440829966555,173.685318787522
"5318",-118.43559,34.05595,120,"Westside",-118.435437725753,167.954541406021
"5319",-118.40399,34.02616,100,"Westside",-118.403084280936,165.578232257215
"5320",-118.37877,34.10443,215,"Central L.A.",-118.378819197324,176.657720553744
"5321",-118.35183,34.06196,110,"Central L.A.",-118.351857993311,154.355320537339
"5322",-118.29744,34.10661,115,"Central L.A.",-118.297935585284,114.503934492473
"5323",-118.45268,34.06764,121,"Westside",-118.451614448161,183.577555891985
"5324",-118.46063,33.9791,237,"Westside",-118.459702809365,187.967174176758
"5325",-118.45889,33.97762,256,"Westside",-118.459702809365,187.967174176758
"5326",-118.46257,33.97967,258,"Westside",-118.462398929766,188.758559601514
"5327",-118.46225,33.97922,216,"Westside",-118.462398929766,188.758559601514
"5328",-118.42513,34.05427,110,"Westside",-118.424653244147,158.712541025644
"5329",-118.26104,34.04219,191,"Central L.A.",-118.260189899666,143.630280758379
"5330",-118.43676,34.11767,275,"Westside",-118.435437725753,167.954541406021
"5331",-118.41621,33.98678,231,"Westside",-118.416564882943,156.965693407094
"5332",-118.28603,34.04865,52,"Central L.A.",-118.287151103679,120.936915295607
"5333",-118.28621,34.04966,45,"Central L.A.",-118.287151103679,120.936915295607
"5334",-118.28538,34.04879,45,"Central L.A.",-118.284454983278,123.719430115868
"5335",-118.37953,33.97978,525,"Westside",-118.378819197324,176.657720553744
"5336",-118.28591,34.04988,145,"Central L.A.",-118.287151103679,120.936915295607
"5337",-118.43586,34.03763,295,"Westside",-118.435437725753,167.954541406021
"5338",-118.43105,34.04849,55,"Westside",-118.43004548495,162.669671101762
"5339",-118.3521,34.05284,76,"Central L.A.",-118.351857993311,154.355320537339
"5340",-118.28364,34.11436,505,"Central L.A.",-118.284454983278,123.719430115868
"5341",-118.44475,34.00337,119,"Westside",-118.443526086957,176.467523332254
"5342",-118.4461,34.00318,90,"Westside",-118.446222207358,179.083813235192
"5343",-118.44623,34.00343,98,"Westside",-118.446222207358,179.083813235192
"5344",-118.4697,33.99301,115,"Westside",-118.47048729097,189.232477019274
